temp_K,temp_std_K,P_bar,P_std_bar,No_mol,No_mol_std,Rho_kg_per_m_cubed,Rho_std_kg_per_m_cubed,V_ang_cubed,V_std_ang_cubed,L_m_if_cubed,L_std_m_if_cubed,Hv_kJ_per_mol,Hv_std_kJ_per_mol,Z,Z_std,RcutCoulomb
300,0,0.0101510993144,0.000216426324937,971.05797152,0.627897244270825,997.781749999999,1.13344633365148,29115.1703839999,43.1222235221101,30.7637797949898,0.015180525180412,49.1518884439999,0.032720410251312,-0.00076514380916,0.000822083670486,12
350,0,0.156051030879999,0.003307483534585,971.694510959999,0.609745764343078,964.947864499999,0.977610588337736,30126.251294,48.0307372069288,31.1158450423024,0.016533838988824,46.3454901459999,0.02170567461452,-0.0007406357425,0.001197377130298,12
400,0,1.138719608,0.012870101747398,952.259061479999,0.588266276964025,920.2400739,1.13672249738052,30959.2959979999,55.6491876832292,31.4000423737904,0.018808231526096,43.126164078,0.051679827301439,0.000359343834719,0.000919646606959,12
450,0,5.0278747586,0.076271483052671,971.45519964,0.492201351925619,864.15009408,1.5389188803666,33635.709628,76.4561731709705,32.2799855981024,0.024443073641959,39.3636764399999,0.062627689030377,0.001886879492922,0.00070428853236,12
500,0,16.205844028,0.134168022541294,953.25798326,0.49598276696514,793.05035154,1.17572289906837,35970.056166,71.7764576246282,33.0101034217302,0.021952078745029,34.403817592,0.026265661256005,0.0075862612114,0.000907925337188,12
550,0,41.83910324,0.185500198305429,899.51636708,1.2132601069553,699.64156792,1.57398901226301,38489.104894,135.465234094204,33.7633444476022,0.039585822422331,27.737722312,0.05730284820444,0.022954455962,0.000771071615796,12
575,0,63.824501358,0.515392037588477,926.5325735,1.56982818726538,637.026969899999,2.76337496337826,43569.15102,265.593053633089,35.187758418344,0.07138971561915,23.363680674,0.111259140499442,0.037033210666,0.000428020249471,12
600,0,95.3371357939999,0.910414855243011,852.58511366,6.15480186981629,552.30459164,6.62316637952123,46377.279266,871.186557564784,35.9270542048125,0.223550753921516,17.3781087599999,0.212996878349897,0.061524231084,0.000636987580269,12
300,0,0.0101510993144,0.000216426324937,28.942028462,0.627897273113137,0.0073590466066,0.000159652611019,117649675.82,43.1648815612967,490.000938246149,5.99E-05,49.1518884439999,0.032720410251312,0.99634295724,0.000456073661033,100
350,0,0.156051030879999,0.003307483534585,28.305489014,0.609745851312211,0.09825575019,0.002116055981237,8617766.7494,48.031284974603,205.020951650619,0.000380896230055,46.3454901459999,0.02170567461452,0.98378455236,0.000575809046842,50
400,0,1.138719608,0.012870101747398,47.740938562,0.588266254073728,0.649500559699999,0.007988996622646,2198808.7038,55.6493554697326,130.035664838394,0.001097023021021,43.126164078,0.051679827301439,0.9507604852,0.001649044730928,30
450,0,5.0278747586,0.076271483052671,28.544800312,0.49220127266176,2.722823141,0.046288430407094,313564.29032,76.4561205527385,67.9373908544526,0.005522073352703,39.3636764399999,0.062627689030377,0.89388840702,0.001633973835011,20
500,0,16.205844028,0.134168022541294,46.742016854,0.495982729992558,8.878078653,0.090099760105253,157430.943859999,71.7764361100629,53.9962200295061,0.008206441702945,34.403817592,0.026265661256005,0.79840942008,0.001395049112405,20
550,0,41.83910324,0.185500198305429,100.483632986,1.2132601681102,25.351129678,0.273023426727124,118463.8951,135.465224613852,49.112866821926,0.018724322375282,27.737722312,0.05730284820444,0.6572189004,0.004146105913142,14
575,0,63.824501358,0.515392037588477,73.467426574,1.56982820699725,43.806709342,0.74415213068088,49958.84898,265.593053633091,36.8301126979854,0.065355799579791,23.363680674,0.111259140499442,0.5655499542,0.005884161614934,12
600,0,95.3371357939999,0.910414855243011,147.41488634,6.15480186981627,79.613399718,2.25558526153923,54928.7207339999,871.186557564783,38.0122310641564,0.202081791475892,17.3781087599999,0.212996878349897,0.448183354879999,0.006971128189245,10
