"Density(kg/m3)","Temperature(K)"
0.509152383,368.393288
0.515717095,368.766384
0.522350877,369.13948
0.529054275,369.512576
0.535827842,369.885672
0.542672129,370.258768
0.549587693,370.631864
0.556575093,371.00496
0.56363489,371.378056
0.570767649,371.751152
0.577973936,372.124248
0.585254323,372.497344
0.59260938,372.87044
0.600039685,373.243536
0.607545815,373.616632
0.615128351,373.989728
0.622787878,374.362824
0.630524981,374.73592
0.638340251,375.109016
0.64623428,375.482112
0.654207663,375.855208
0.662260998,376.228304
0.670394885,376.6014
0.67860993,376.974496
0.686906738,377.347592
0.695285919,377.720688
0.703748084,378.093784
0.71229385,378.46688
0.720923834,378.839976
0.729638657,379.213072
0.738438942,379.586168
0.747325318,379.959264
0.756298412,380.33236
0.765358858,380.705456
0.774507291,381.078552
0.783744348,381.451648
0.793070673,381.824744
0.802486907,382.19784
0.8119937,382.570936
0.821591699,382.944032
0.831281559,383.317128
0.841063936,383.690224
0.850939487,384.06332
0.860908875,384.436416
0.870972764,384.809512
0.881131823,385.182608
0.891386722,385.555704
0.901738134,385.9288
0.912186736,386.301896
0.922733207,386.674992
0.933378232,387.048088
0.944122494,387.421184
0.954966682,387.79428
0.965911489,388.167376
0.976957608,388.540472
0.988105739,388.913568
0.99935658,389.286664
1.010710836,389.65976
1.022169215,390.032856
1.033732425,390.405952
1.04540118,390.779048
1.057176195,391.152144
1.069058191,391.52524
1.081047888,391.898336
1.093146013,392.271432
1.105353293,392.644528
1.117670461,393.017624
1.13009825,393.39072
1.142637398,393.763816
1.155288647,394.136912
1.16805274,394.510008
1.180930424,394.883104
1.19392245,395.2562
1.20702957,395.629296
1.220252542,396.002392
1.233592126,396.375488
1.247049084,396.748584
1.260624182,397.12168
1.274318189,397.494776
1.288131879,397.867872
1.302066027,398.240968
1.316121412,398.614064
1.330298815,398.98716
1.344599023,399.360256
1.359022825,399.733352
1.373571011,400.106448
1.388244378,400.479544
1.403043723,400.85264
1.417969849,401.225736
1.43302356,401.598832
1.448205666,401.971928
1.463516976,402.345024
1.478958307,402.71812
1.494530477,403.091216
1.510234307,403.464312
1.526070623,403.837408
1.542040252,404.210504
1.558144027,404.5836
1.574382782,404.956696
1.590757355,405.329792
1.60726859,405.702888
1.62391733,406.075984
1.640704425,406.44908
1.657630727,406.822176
1.674697091,407.195272
1.691904377,407.568368
1.709253446,407.941464
1.726745164,408.31456
1.744380402,408.687656
1.762160031,409.060752
1.780084929,409.433848
1.798155975,409.806944
1.816374052,410.18004
1.834740047,410.553136
1.853254852,410.926232
1.87191936,411.299328
1.890734468,411.672424
1.909701078,412.04552
1.928820095,412.418616
1.948092427,412.791712
1.967518986,413.164808
1.987100687,413.537904
2.006838451,413.911
2.0267332,414.284096
2.046785861,414.657192
2.066997363,415.030288
2.087368641,415.403384
2.107900634,415.77648
2.128594281,416.149576
2.149450528,416.522672
2.170470325,416.895768
2.191654624,417.268864
2.213004382,417.64196
2.234520558,418.015056
2.256204117,418.388152
2.278056026,418.761248
2.300077258,419.134344
2.322268788,419.50744
2.344631596,419.880536
2.367166664,420.253632
2.38987498,420.626728
2.412757536,420.999824
2.435815325,421.37292
2.459049348,421.746016
2.482460608,422.119112
2.50605011,422.492208
2.529818866,422.865304
2.553767892,423.2384
2.577898205,423.611496
2.602210829,423.984592
2.626706792,424.357688
2.651387124,424.730784
2.67625286,425.10388
2.70130504,425.476976
2.726544707,425.850072
2.751972909,426.223168
2.777590698,426.596264
2.803399129,426.96936
2.829399263,427.342456
2.855592165,427.715552
2.881978902,428.088648
2.908560547,428.461744
2.935338179,428.83484
2.962312878,429.207936
2.98948573,429.581032
3.016857825,429.954128
3.044430258,430.327224
3.072204127,430.70032
3.100180536,431.073416
3.128360592,431.446512
3.156745408,431.819608
3.185336099,432.192704
3.214133788,432.5658
3.243139599,432.938896
3.272354662,433.311992
3.301780113,433.685088
3.33141709,434.058184
3.361266738,434.43128
3.391330203,434.804376
3.421608641,435.177472
3.452103207,435.550568
3.482815065,435.923664
3.513745382,436.29676
3.544895329,436.669856
3.576266083,437.042952
3.607858825,437.416048
3.639674742,437.789144
3.671715024,438.16224
3.703980867,438.535336
3.736473473,438.908432
3.769194046,439.281528
3.802143797,439.654624
3.835323941,440.02772
3.8687357,440.400816
3.902380299,440.773912
